sp_id,serialno,stcotrbg,hh_race,hh_income,hh_size,hh_age,latitude,longitude
01077010100-1,1322206,01077010100,1,500,1,22,34.7859072435596,-87.671216831511
01077010100-4,126976,01077010100,1,2700,1,24,34.7834180264722,-87.6716184937571
01077010100-5,395268,01077010100,1,4300,1,24,34.7831354007209,-87.6708801007211
01077010100-6,1132691,01077010100,1,4000,1,23,34.8079515272939,-87.683405966659
01077010100-7,1125925,01077010100,1,6000,1,24,34.8080243383435,-87.6816913928999
01077010100-8,1190366,01077010100,1,1500,1,20,34.8080331436798,-87.6815214069139
01077010100-9,1436778,01077010100,1,2000,1,21,34.8099060693206,-87.6650065493843
01077010100-10,1185454,01077010100,1,6800,1,18,34.809721114154,-87.6646583400774
01077010100-11,1337099,01077010100,1,0,1,21,34.8098948425118,-87.6647124048504
01077010100-12,793906,01077010100,1,0,1,22,34.8082531899717,-87.664193187749
01077010100-13,204495,01077010100,1,1000,1,22,34.807191330946,-87.6642938159119
01077010100-14,1240011,01077010100,1,0,1,21,34.8139421653277,-87.664733415977
01077010100-15,1369919,01077010100,1,8200,1,19,34.8093890071604,-87.6627565668002
01077010100-16,189786,01077010100,1,1200,1,24,34.8095816229119,-87.6626912381103
01077010100-17,1067716,01077010100,1,0,1,24,34.8065797240305,-87.6640894912012
01077010100-18,655372,01077010100,1,8300,1,23,34.8065679029045,-87.6600664951585
01077010100-19,649360,01077010100,1,0,1,23,34.8080666889304,-87.6624026120154
01077010100-20,343541,01077010100,1,0,1,24,34.808163228938,-87.6632776382409
01077010100-21,793906,01077010100,1,0,1,22,34.8077023714157,-87.6634793876807
01077010100-22,126976,01077010100,1,2700,1,24,34.8085476500662,-87.6636932460411
01077010100-23,1061885,01077010100,1,0,1,23,34.8068392609043,-87.662684049898
01077010100-24,1173319,01077010100,1,3000,1,20,34.8082495037272,-87.662526850871
01077010100-25,1023798,01077010100,1,0,1,21,34.8078647074481,-87.6622883354991
01077010100-26,189786,01077010100,1,1200,1,24,34.8072934856034,-87.6606626844809
01077010100-27,126976,01077010100,1,2700,1,24,34.8077021507375,-87.6615189029449
01077010100-28,1240011,01077010100,1,0,1,21,34.8063518559139,-87.6604228822611
01077010100-29,1175896,01077010100,1,8800,1,20,34.8067342738963,-87.6633965926794
01077010100-30,204495,01077010100,1,1000,1,22,34.8070617377558,-87.663546075529
01077010100-31,742272,01077010100,1,0,1,25,34.8060907801069,-87.6780317808487
01077010100-32,794140,01077010100,1,2800,1,25,34.8070328907601,-87.6598042121352
01077010100-33,1271409,01077010100,1,0,1,34,34.8076936046925,-87.660577367853
01077010100-34,252109,01077010100,1,4800,1,31,34.8071473456588,-87.6600823469533
01077010100-35,731009,01077010100,1,8000,1,33,34.8068879696421,-87.6626495903991
01077010100-36,993559,01077010100,1,0,1,26,34.8078262990895,-87.6616378956948
01077010100-37,379458,01077010100,1,0,1,25,34.807982832081,-87.6615110465446
01077010100-38,1072252,01077010100,1,0,1,28,34.8085530882531,-87.661065840011
01077010100-39,1038364,01077010100,1,8000,1,28,34.8094444335806,-87.6623760680244
01077010100-40,1306079,01077010100,1,1200,1,41,34.8082168301972,-87.6630303426222
01077010100-41,1155414,01077010100,1,0,1,42,34.8089726782343,-87.6625667044179
01077010100-42,239451,01077010100,1,9600,1,48,34.809352355404,-87.6783802060619
01077010100-43,847287,01077010100,1,2200,1,52,34.8095200748889,-87.6786220567928
01077010100-44,1266413,01077010100,1,9600,1,52,34.8092528471659,-87.680902699316
01077010100-45,521140,01077010100,1,7700,1,49,34.8094708092575,-87.6806519652708
01077010100-46,476815,01077010100,1,-1500,1,54,34.8087732043431,-87.6812879607594
01077010100-47,973450,01077010100,1,8500,1,52,34.8086860774422,-87.6825595159759
01077010100-48,749548,01077010100,1,9200,1,47,34.8109943123048,-87.684777850065
01077010100-49,1406727,01077010100,1,7800,1,50,34.807882462577,-87.6854023491227
01077010100-50,729823,01077010100,1,0,1,49,34.8095506484246,-87.6867016315332
01077010100-51,646905,01077010100,1,8100,1,47,34.8094942047567,-87.6860048309858
01077010100-52,1300742,01077010100,1,0,1,48,34.8108466903528,-87.6859877352225
01077010100-53,1413714,01077010100,1,8700,1,59,34.8115653522445,-87.6848135789127
01077010100-54,609513,01077010100,1,9200,1,56,34.81036756299,-87.6869051784823
01077010100-55,736351,01077010100,1,1700,1,60,34.8091159229108,-87.6824911889414
01077010100-56,1390644,01077010100,1,8400,1,62,34.8091809056264,-87.6615116570982
01077010100-57,302195,01077010100,1,100,1,63,34.8093519806445,-87.6630901951612
01077010100-58,916497,01077010100,1,3600,1,61,34.8092399251553,-87.6819988498961
01077010100-59,545722,01077010100,1,9700,1,61,34.809456370316,-87.6784301825935
01077010100-60,805438,01077010100,1,2400,1,60,34.80881727498,-87.6785642956569
01077010100-61,850761,01077010100,1,6100,1,63,34.8091859307667,-87.6822352131501
01077010100-62,1270664,01077010100,1,7800,1,64,34.8091894807867,-87.6610587463796
01077010100-63,137172,01077010100,1,0,1,64,34.8093618013131,-87.6817635469208
01077010100-64,716937,01077010100,1,9400,1,69,34.8093583303236,-87.6625053204885
01077010100-65,1045260,01077010100,1,9100,1,67,34.810184853765,-87.6619610887987
01077010100-66,503650,01077010100,1,0,1,67,34.8100604769877,-87.6622806681585
01077010100-67,235644,01077010100,1,9500,1,68,34.8105989448751,-87.6619857334254
01077010100-68,541473,01077010100,1,8400,1,65,34.8101971803603,-87.6634108595947
01077010100-69,62373,01077010100,1,8100,1,70,34.8102062079964,-87.6830257307572
01077010100-70,652043,01077010100,1,0,1,82,34.8092352544116,-87.6823604591936
01077010100-71,944,01077010100,1,1600,1,88,34.8078514900538,-87.6822850760423
01077010100-72,271770,01077010100,1,340,1,86,34.8086040531868,-87.6831040220965
01077010100-73,374090,01077010100,1,8800,1,87,34.8091093358346,-87.6835236281665
01077010100-74,62692,01077010100,2,0,1,22,34.8087739138326,-87.6827513929039
01077010100-75,1404018,01077010100,2,0,1,22,34.8098934020694,-87.6822159090401
01077010100-76,1274338,01077010100,2,8500,1,51,34.8105762559877,-87.6628074266017
01077010100-77,858565,01077010100,2,2000,1,24,34.810250287945,-87.6637301721228
01077010100-78,141485,01077010100,2,2000,1,23,34.8096852124762,-87.6643129810748
01077010100-79,1404018,01077010100,2,0,1,22,34.8104557563513,-87.6827607189851
01077010100-80,333400,01077010100,2,0,1,23,34.8111892782903,-87.6652130005129
01077010100-81,494896,01077010100,2,80,1,21,34.8110883715665,-87.6638098288814
01077010100-82,1039194,01077010100,2,7500,1,22,34.8109353399755,-87.6633563043372
01077010100-83,494896,01077010100,2,80,1,21,34.8113548538329,-87.6629375244955
01077010100-84,1013789,01077010100,2,6300,1,24,34.8113636264713,-87.6636584778837
01077010100-85,858565,01077010100,2,2000,1,24,34.8113400612865,-87.6635203023832
01077010100-86,1378057,01077010100,2,2400,1,20,34.81142550947,-87.6648533288606
01077010100-87,928022,01077010100,2,7500,1,24,34.8118742733411,-87.6644011918465
01077010100-88,1197989,01077010100,2,500,1,21,34.8121767278676,-87.6633468490523
01077010100-89,867190,01077010100,2,5000,1,25,34.8120102897237,-87.6640634633548
01077010100-90,646897,01077010100,2,0,1,34,34.8128055458635,-87.6643859116354
01077010100-91,1391899,01077010100,2,0,1,32,34.8130157011515,-87.6633349069459
