sp_id,sp_hh_id,serialno,stcotrbg,age,sex,race,sporder,relate,sp_school_id,sp_work_id
01077010100-1-1,01077010100-1,1322206,01077010100,22,1,1,1,0,,400711410
01077010100-4-4,01077010100-4,126976,01077010100,24,1,1,1,0,,
01077010100-5-5,01077010100-5,395268,01077010100,24,1,1,1,0,,599403045
01077010100-6-6,01077010100-6,1132691,01077010100,23,2,1,1,0,,574666293
01077010100-7-7,01077010100-7,1125925,01077010100,24,2,1,1,0,,401889282
01077010100-8-8,01077010100-8,1190366,01077010100,20,1,1,1,0,,902095116
01077010100-9-9,01077010100-9,1436778,01077010100,21,1,1,1,0,,495971152
01077010100-10-10,01077010100-10,1185454,01077010100,18,2,1,1,0,010201000765,251884706
01077010100-11-11,01077010100-11,1337099,01077010100,21,1,1,1,0,,
01077010100-12-12,01077010100-12,793906,01077010100,22,2,1,1,0,,
01077010100-13-13,01077010100-13,204495,01077010100,22,1,1,1,0,,803520097
01077010100-14-14,01077010100-14,1240011,01077010100,21,2,1,1,0,,
01077010100-15-15,01077010100-15,1369919,01077010100,19,2,1,1,0,,133755777
01077010100-16-16,01077010100-16,189786,01077010100,24,1,1,1,0,,133748129
01077010100-17-17,01077010100-17,1067716,01077010100,24,1,1,1,0,,
01077010100-18-18,01077010100-18,655372,01077010100,23,2,1,1,0,,133752444
01077010100-19-19,01077010100-19,649360,01077010100,23,1,1,1,0,,
01077010100-20-20,01077010100-20,343541,01077010100,24,1,1,1,0,,
01077010100-21-21,01077010100-21,793906,01077010100,22,2,1,1,0,,
01077010100-22-22,01077010100-22,126976,01077010100,24,1,1,1,0,,
01077010100-23-23,01077010100-23,1061885,01077010100,23,2,1,1,0,,
01077010100-24-24,01077010100-24,1173319,01077010100,20,2,1,1,0,,802734582
01077010100-25-25,01077010100-25,1023798,01077010100,21,1,1,1,0,,
01077010100-26-26,01077010100-26,189786,01077010100,24,1,1,1,0,,133748129
01077010100-27-27,01077010100-27,126976,01077010100,24,1,1,1,0,,
01077010100-28-28,01077010100-28,1240011,01077010100,21,2,1,1,0,,
01077010100-29-29,01077010100-29,1175896,01077010100,20,1,1,1,0,,
01077010100-30-30,01077010100-30,204495,01077010100,22,1,1,1,0,,513756080
01077010100-31-31,01077010100-31,742272,01077010100,25,2,1,1,0,,
01077010100-32-32,01077010100-32,794140,01077010100,25,2,1,1,0,,
01077010100-33-33,01077010100-33,1271409,01077010100,34,2,1,1,0,,
01077010100-34-34,01077010100-34,252109,01077010100,31,1,1,1,0,,133768804
01077010100-35-35,01077010100-35,731009,01077010100,33,2,1,1,0,,232537381
01077010100-36-36,01077010100-36,993559,01077010100,26,1,1,1,0,,
01077010100-37-37,01077010100-37,379458,01077010100,25,2,1,1,0,,
01077010100-38-38,01077010100-38,1072252,01077010100,28,2,1,1,0,,
01077010100-39-39,01077010100-39,1038364,01077010100,28,1,1,1,0,,133760397
01077010100-40-40,01077010100-40,1306079,01077010100,41,1,1,1,0,,133760835
01077010100-41-41,01077010100-41,1155414,01077010100,42,2,1,1,0,,
01077010100-42-42,01077010100-42,239451,01077010100,48,1,1,1,0,,
01077010100-43-43,01077010100-43,847287,01077010100,52,1,1,1,0,,
01077010100-44-44,01077010100-44,1266413,01077010100,52,1,1,1,0,,416272102
01077010100-45-45,01077010100-45,521140,01077010100,49,2,1,1,0,,
01077010100-46-46,01077010100-46,476815,01077010100,54,1,1,1,0,,200030872
01077010100-47-47,01077010100-47,973450,01077010100,52,2,1,1,0,,
01077010100-48-48,01077010100-48,749548,01077010100,47,2,1,1,0,,
01077010100-49-49,01077010100-49,1406727,01077010100,50,2,1,1,0,,
01077010100-50-50,01077010100-50,729823,01077010100,49,2,1,1,0,,
01077010100-51-51,01077010100-51,646905,01077010100,47,2,1,1,0,,
01077010100-52-52,01077010100-52,1300742,01077010100,48,2,1,1,0,,
01077010100-53-53,01077010100-53,1413714,01077010100,59,2,1,1,0,,
01077010100-54-54,01077010100-54,609513,01077010100,56,1,1,1,0,,
01077010100-55-55,01077010100-55,736351,01077010100,60,2,1,1,0,,
01077010100-56-56,01077010100-56,1390644,01077010100,62,1,1,1,0,,
01077010100-57-57,01077010100-57,302195,01077010100,63,2,1,1,0,,
