sp_id,workers,latitude,longitude
987560745,20,34.836705,-87.631538
401889050,120,34.795206,-87.671183
407385848,28,34.797618,-87.667799
475156121,5,34.799112,-87.675952
475156253,150,34.799112,-87.675952
495961013,30,34.798761,-87.665296
513756544,2,34.804952,-87.660706
133754762,9,34.801056,-87.671417
401889290,100,34.801776,-87.675143
441309689,120,34.799445,-87.677438
513756080,7,34.816833,-87.639088
401888920,30,34.832105,-87.621224
545024309,18,34.830629,-87.628208
513761254,6,34.818975,-87.679697
701138505,3,34.858854,-87.681272
803510387,44,34.865567,-87.691721
892473034,3,34.894998,-87.826576
967947441,2,34.842222,-87.798586
803513241,10,34.895645,-87.808648
702574161,91,34.857099,-87.651454
704908474,15,34.869285,-87.656315
711965574,130,34.880472,-87.661463
712055128,183,34.874334,-87.660626
803522044,145,34.872974,-87.668977
886694330,297,34.86023,-87.651212
892473703,13,34.875648,-87.664855
963938105,25,34.867377,-87.657341
967945411,30,34.860519,-87.659195
987558194,18,34.86032,-87.660554
892487497,3,34.910532,-87.686959
967947953,120,34.920819,-87.66959
644087207,15,34.932942,-87.507175
666842166,3,34.847972,-87.528874
664186749,25,34.797311,-87.674189
390426971,73,34.798014,-87.677897
704384429,33,34.807716,-87.664496
545026379,60,34.829334,-87.627919
133760397,42,34.829424,-87.629459
401889340,130,34.832672,-87.667781
401889373,160,34.836453,-87.64898
475156220,11,34.821926,-87.667052
495972812,16,34.833689,-87.667754
495974925,7,34.833671,-87.668059
513756825,2,34.822007,-87.656387
545024226,12,34.824114,-87.662867
599394434,3,34.835454,-87.65312
599395019,1,34.825122,-87.667007
632207155,6,34.835544,-87.652921
133760520,18,34.826805,-87.641492
219823663,20,34.839009,-87.634769
378034557,25,34.83846,-87.633869
396240194,250,34.838685,-87.633896
644088346,35,34.831781,-87.637666
456272939,27,34.842906,-87.67094
495960015,45,34.838513,-87.674476
544998081,20,34.827336,-87.674828
661197566,10,34.831566,-87.674602
675096606,20,34.831655,-87.674593
372019372,1,34.843283,-87.588805
400391234,7,34.844678,-87.324646
677392268,20,34.801784,-87.675269
699520672,3,34.796988,-87.680453
704336544,28,34.802009,-87.680417
997143318,1500,34.795098,-87.685043
803522689,350,34.807769,-87.687689
666691811,55,34.830522,-87.627982
803507698,73,34.833357,-87.628829
987560364,28,34.8209,-87.681415
803518570,10,34.852986,-87.691235
967947664,40,34.855893,-87.691739
367420478,5,34.844678,-87.324646
803501717,12,34.802496,-87.668006
803502392,10,34.800839,-87.674774
892495243,130,34.803665,-87.676357
902095116,40,34.801803,-87.675287
544997844,21,34.803891,-87.683045
