sp_id,sp_hh_id,serialno,stcotrbg,age,sex,race,sporder,relate,sp_school_id,sp_work_id
ra-1-1,ra-1,637000,ra,99,1,,1,,,
ra-1-2,ra-1,637000,ra,99,2,,2,,,
ra-1-3,ra-1,637000,ra,99,1,,3,,,
ra-1-4,ra-1,637000,ra,98,2,,4,,,
ra-1-5,ra-1,637000,ra,4,2,,5,,,
ra-2-6,ra-2,521000,ra,63,1,1,1,,,
ra-2-7,ra-2,521000,ra,58,2,1,2,,,
ra-3-8,ra-3,282000,ra,51,1,2,1,,,
ra-3-9,ra-3,282000,ra,41,2,2,2,,,
ra-3-10,ra-3,282000,ra,15,2,2,3,,,
ra-3-11,ra-3,282000,ra,13,2,2,4,,,
ra-3-12,ra-3,282000,ra,11,2,2,5,,,
ra-3-13,ra-3,282000,ra,7,2,2,6,,,
ra-3-14,ra-3,282000,ra,12,2,25,7,,,
ra-4-15,ra-4,700000,ra,43,1,3,1,,,
ra-4-16,ra-4,700000,ra,40,2,3,2,,,
ra-4-17,ra-4,700000,ra,15,1,3,3,,,
ra-4-18,ra-4,700000,ra,4,2,32,4,,,
ra-6-21,ra-6,654000,ra,42,1,6,1,,,
ra-6-22,ra-6,654000,ra,44,2,6,2,,,
ra-6-23,ra-6,654000,ra,11,2,6,3,,,
ra-6-24,ra-6,654000,ra,10,2,6,4,,,
ra-6-25,ra-6,654000,ra,8,1,6,5,,,
ra-6-26,ra-6,654000,ra,7,1,6,6,,,
ra-6-27,ra-6,654000,ra,5,2,6,7,,,
ra-6-28,ra-6,654000,ra,3,2,6,8,,,
ra-6-29,ra-6,654000,ra,2,2,6,9,,,
ra-6-30,ra-6,654000,ra,0,2,6,10,,,
ra-7-31,ra-7,672000,ra,66,2,6,1,,,
ra-7-32,ra-7,672000,ra,64,2,6,2,,,
ra-7-33,ra-7,672000,ra,43,2,,3,,,
ra-7-34,ra-7,672000,ra,32,1,,4,,,
ra-8-35,ra-8,439000,ra,32,1,8,1,,,
ra-8-36,ra-8,439000,ra,15,2,8,2,,,
ra-8-37,ra-8,439000,ra,13,1,8,3,,,
ra-8-38,ra-8,439000,ra,11,1,62,4,,,
ra-8-39,ra-8,439000,ra,9,1,63,5,,,
ra-9-40,ra-9,199000,ra,39,1,9,1,,,
ra-9-41,ra-9,199000,ra,37,2,9,2,,,
ra-9-42,ra-9,199000,ra,17,2,9,3,,,
ra-9-43,ra-9,199000,ra,13,2,9,4,,,
ra-10-44,a-10,316000,ra,40,1,9,1,,,
ra-10-45,a-10,316000,ra,33,2,9,2,,,
ra-10-46,a-10,316000,ra,13,2,9,3,,,
ra-10-47,a-10,316000,ra,9,1,9,4,,,
ra-10-48,a-10,316000,ra,8,2,56,5,,,
