"","School","ID","CoNo","StNo","Long","Lat","Low","High","Students"
"1","A M WINDHAM ELEM SCH","010108001767","45","01","-85.715100","31.310000",0,6,561
"2","A.C. MOORE ELEM SCH","010135000482","53","01","-87.485100","31.015300",3,4,250
"3","ABBEVILLE ALT SCH","010174002120","67","01","-85.252400","31.567400",1,12,524.598433921844
"4","ABBEVILLE ELEM SCH","010174000602","67","01","-85.249700","31.566900",0,6,444
"5","ABBEVILLE HIGH SCH","010174000600","67","01","-85.278200","31.582100",7,12,444
"6","ABC ELEM","010351001342","131","01","-87.381200","32.195600",-1,6,169
"7","ABRAMS ELEM SCH","010033001479","73","01","-86.960300","33.412600",-1,5,380
"8","ACAD FOR ACADEMICS & ARTS","010180000620","89","01","-86.611200","34.738800",-1,8,522
"9","ACAD FOR SCIENCE & FOREIGN LANGUAGE","010180000624","89","01","-86.609700","34.769900",-1,8,474
"10","ADAMS ELEM SCH","010162001665","55","01","-85.967000","34.000500",-1,5,325
"11","ADAMSVILLE ELEM SCH","010192000681","73","01","-86.957500","33.593800",0,5,321
"12","ADDISON ELEM SCH","010358001463","133","01","-87.181200","34.203700",0,6,331
"13","ADDISON HIGH SCH","010358001356","133","01","-87.181600","34.204700",7,12,322
"14","ADOLESCENT DAY TREATMENT","010039001296","73","01","-86.809100","33.520000",0,12,2
"15","AH WATWOOD ELEM SCH","010318001209","121","01","-86.354000","33.268400",0,4,356
"16","AIRPORT ROAD INTERMEDIATE SCH","010129002147","51","01","-86.345100","32.515800",3,4,699
"17","AKRON COMM SCHOOL","010171002165","65","01","-87.734500","32.875800",0,12,284
"18","ALA AVENUE MIDDLE SCH","010000500870","95","01","-86.206200","34.260200",7,8,632
"19","ALABAMA CLINICAL SCHOOL","010018302114","73","01","-86.646000","33.584900",-2,-2,524.598433921844
"20","ALABAMA SCHOOL FOR BLIND","010000901404","121","01","-86.089500","33.433200",0,12,524.598433921844
"21","ALABAMA SCHOOL FOR DEAF","010000901403","121","01","-86.097800","33.432200",0,12,524.598433921844
"22","ALABAMA SCHOOL OF FINE ARTS","010001802104","73","01","-86.812900","33.520900",7,12,524.598433921844
"23","ALABAMA YOUTH SERVICES","010000201876","101","01","-86.082300","32.374800",-2,-2,524.598433921844
"24","ALBERT P BREWER HIGH SCH","010248001696","103","01","-86.705000","34.413300",9,12,900
"25","ALBERT P BREWER VOC SCH","010248001121","103","01","-86.705000","34.413300",10,12,524.598433921844
"26","ALBERT TURNER SR ELEM SCH","010267001734","105","01","-87.321700","32.634600",0,6,501
"27","ALBERTA ELEM SCH","010336001250","125","01","-87.529800","33.216800",-1,5,285
"28","ALBERTVILLE ELEM SCH","010000500889","95","01","-86.221800","34.253300",3,4,780
"29","ALBERTVILLE HIGH SCH","010000500871","95","01","-86.204900","34.262200",9,12,1117
"30","ALBERTVILLE PRIMARY SCH","010000502150","95","01","-86.221800","34.253300",1,2,1029
"31","ALEXANDER CITY MIDDLE SCH","010003000001","123","01","-85.948800","32.945100",7,8,493
"32","ALEXANDRIA ELEM SCH","010054001747","15","01","-85.883600","33.775700",0,5,882
"33","ALEXANDRIA HIGH SCH","010054000232","15","01","-85.886700","33.774200",6,12,1083
"34","ALICEVILLE ELEM SCH","010273001097","107","01","-88.155600","33.134400",-1,4,339
"35","ALICEVILLE HIGH SCH","010273001098","107","01","-88.148300","33.123500",9,12,293
"36","ALICEVILLE MIDDLE SCH","010273001099","107","01","-88.155700","33.137000",5,8,276
"37","ALLAN COTT SCHOOL","010192001571","73","01","-86.659700","33.483700",1,12,524.598433921844
"38","ALLEN COTT","010003302123","73","01","-86.659600","33.483800",-2,-2,524.598433921844
"39","ALLEN THORNTON CAREER TECH CTR","010201000762","77","01","-87.442500","34.860700",10,12,524.598433921844
"40","ALLENTOWN ELEM SCH","010237000572","97","01","-88.286200","30.746400",0,5,819
"41","ALLGOOD ALT SCH","010042000670","9","01","-86.512500","33.905500",2,12,524.598433921844
"42","ALMA BRYANT HIGH SCH","010237000989","97","01","-88.280200","30.442100",9,12,1689
"43","ALT LEARNING CTR","010333001395","109","01","-85.962400","31.813000",6,12,524.598433921844
"44","ALT LEARNING CTR","010264001385","45","01","-85.634100","31.455400",7,12,524.598433921844
"45","ALT LEARNING CTR","010288001155","113","01","-85.170200","32.316900",5,12,524.598433921844
"46","ALT SCH","010114000819","49","01","-85.702100","34.459200",5,12,524.598433921844
"47","AMELIA L. JOHNSON HIGH SCH","010225000852","91","01","-87.632300","32.279500",0,12,193
"48","ANDALUSIA ELEM SCH","010006001467","39","01","-86.502500","31.284600",0,5,843
"49","ANDALUSIA HIGH SCH","010006000007","39","01","-86.470800","31.315400",9,12,495
"50","ANDALUSIA MIDDLE SCH","010006000008","39","01","-86.482800","31.327900",6,8,416
"51","ANDERSON JR HIGH SCH","010201000763","77","01","-87.267200","34.924600",0,6,524.598433921844
"52","ANNA F BOOTH ELEM SCH","010237001559","97","01","-88.290600","30.442600",-1,5,557
"53","ANNISTON CITY BOOT CAMP SCH","010009001246","15","01","-85.822400","33.709000",7,12,524.598433921844
"54","ANNISTON HIGH SCH","010009000011","15","01","-85.820000","33.661200",9,12,536
"55","ANNISTON MIDDLE SCH","010009001725","15","01","-85.822800","33.708200",6,8,432
"56","APPALACHIAN ?SCH","010042000203","9","01","-86.397100","33.887900",0,12,636
"57","ARAB ELEM SCH","010010000022","95","01","-86.494300","34.329000",3,5,551
"58","ARAB HIGH SCH","010010000028","95","01","-86.489000","34.329600",9,12,867
"59","ARAB JR HIGH SCH","010010000027","95","01","-86.510500","34.312500",6,8,585
"60","ARAB PRIMARY SCH","010010000025","95","01","-86.496600","34.335100",-1,2,604
"61","ARCADIA ELEM SCH","010336001251","125","01","-87.487900","33.198900",-1,5,326
"62","ARDMORE HIGH SCH","010210000797","83","01","-86.847600","34.987900",6,12,952
"63","ARITON SCH","010105000388","45","01","-85.721600","31.602500",0,12,698
"64","ARRINGTON MIDDLE SCH","010039001649","73","01","-86.870300","33.474300",6,8,450
"65","ASBURY ELEMENTARY SCHOOL","010000602209","95","01","-86.142300","34.363100",-1,5,531
"66","ASBURY SCH","010000600872","95","01","-86.142200","34.362800",6,12,514
"67","ASHFORD ELEM SCH","010177001668","69","01","-85.230700","31.183300",0,6,774
"68","ASHFORD HIGH SCH","010177000611","69","01","-85.232200","31.183700",7,12,723
