"","School","ID","CoNo","StNo","Low","High","Students"
"1","ACTS ACADEMY","A0500002","17","01",-1,12,46
"2","ADVENT EPISCOPAL DAY SCHOOL","00000769","73","01",-1,8,316
"3","AL-IMAN ACADEMY OF MOBILE","A0100026","97","01",-1,12,85
"4","ALABAMA CHRISTIAN ACADEMY","00002788","101","01",-1,12,982
"5","ALABAMA GULF COAST CHRISTIAN A","A1192001","3","01",-1,12,78
"6","ALABAMA WALDORF SCHOOL","A9703769","73","01",-1,8,176
"7","ALLAN COTT SCHOOL","A0900003","73","01",2,12,37
"8","AMERICAN CHRISTIAN ACADEMY","02001272","125","01",-1,12,886
"9","ARLINGTON SCHOOL","A0100027","73","01",6,12,20
"10","ASCENSION EPISCOPAL KINDERGART","K9300016","73","01",-1,0,79
"11","ASHFORD ACADEMY","00002733","69","01",-1,12,158
"12","ATHENS BIBLE SCHOOL","00001445","83","01",0,12,330
"13","ATMORE CHRISTIAN SCHOOL","01608888","53","01",-1,12,103
"14","AUTAUGA ACADEMY","00002722","1","01",-1,12,282
"15","BAYSIDE ACADEMY","A0500005","3","01",-1,12,757
"16","BESSEMER ACADEMY","00000849","73","01",-1,12,327
"17","BETH HAVEN CHRISTIAN ACADEMY","A9900003","49","01",1,12,39
"18","BETHANY CHILD DEVELOPMENT CENT","A9703726","101","01",-1,0,37
"19","BETHANY CHRISTIAN ACADEMY","AA890001","101","01",1,8,70
"20","BETHEL BAPTIST CHURCH CHILD DE","A0990001","73","01",-1,0,61
"21","BETHEL BAPTIST SCHOOL","02001126","103","01",-1,12,118
"22","BEULAH BAPTIST CHRISTIAN SCHOO","A0100036","73","01",-1,2,30
"23","BIBLE METHODIST CHRISTIAN SCHO","A0100052","115","01",-1,12,66
"24","BIG COVE CHRISTIAN ACADEMY","00003271","89","01",0,9,27
"25","BRENDA PREPARATORY SCHOOL & NT","A0770017","69","01",-1,0,30
"26","BRIARWOOD CHRISTIAN HIGH SCHOO","01926084","117","01",9,12,588
"27","BRIARWOOD CHRISTIAN SCHOOL","01926233","117","01",0,12,1881
"28","BRIDGEPOINT CHRISTIAN SCHOOL","A1150003","73","01",-1,12,43
"29","BROWN'S PRIVATE SCHOOL","00002653","101","01",1,2,7
"30","CAHABA SCHOOL","A0900012","73","01",9,12,21
"31","CAHAWBA CHRISTIAN ACADEMY","00001536","7","01",-1,12,191
"32","CALVARY BAPTIST ACADEMY","A9900005","89","01",-1,12,51
"33","CALVARY CHRISTIAN ACADEMY","A9900006","115","01",3,12,15
"34","CALVARY CHRISTIAN LEARNING CEN","A1170018","3","01",-1,12,64
"35","CALVARY CHRISTIAN SCHOOL","A0700004","97","01",-1,5,90
"36","CAMELLIA BAPTIST WEM","A0100060","1","01",-1,0,135
"37","CAMELLIA CITY CHRISTIAN ACADEM","A0300015","13","01",2,12,15
"38","CANTERBURY DAY SCHOOL","A1170019","73","01",-1,0,123
"39","CANTERBURY HIGH SCHOOL","A9700005","101","01",9,12,59
"40","CATHEDRAL ACADEMY","A0900014","47","01",-1,12,60
"41","CENTRAL BAPTIST CHRISTIAN SCHO","A1100001","17","01",6,12,7
"42","CENTRAL CHRISTIAN SCHOOL","00001682","3","01",-1,12,331
"43","CENTRAL PARK CHRISTIAN SCHOOLS","02000676","73","01",0,12,184
"44","CHAMBERS ACADEMY","00001693","17","01",-1,12,171
"45","CHILD ENRICHMENT CENTER","A0100184","73","01",-1,0,112
"46","CHILTON CHRISTIAN ACADEMY","AA000278","21","01",-1,12,171
"47","CHRIST THE KING SCHOOL","00000645","3","01",0,8,482
"48","CHURCHILL ACADEMY","A0500011","101","01",0,12,113
"49","CLARK COUNTY CHRISTIAN ACADEMY","A0500025","27","01",-1,12,155
"50","CLARKE PREP SCHOOL","A0100108","25","01",-1,12,268
"51","CLAYRIDGE BAPTIST WEEKDAY MINI","A0100087","73","01",-1,0,93
"52","CLEARLY KIDS CHRISTIAN ACADEMY","A1150004","73","01",-1,0,252
"53","COLUMBUS GIRLS ACADEMY","A0500012","113","01",7,12,62
"54","CONECUH SPRINGS CHRISTIAN SCHO","A0500013","11","01",-1,12,128
"55","COOSA CHRISTIAN SCHOOL","02187186","55","01",-1,12,346
"56","COOSA VALLEY ACADEMY","00001729","117","01",-1,12,270
"57","CORNERSTONE CHRISTIAN ACADEMY","A0770032","49","01",-1,9,367
"58","CORNERSTONE CHRISTIAN ACADEMY","A1170031","43","01",0,12,32
"59","CORNERSTONE CHRISTIAN SCHOOL","A9900015","117","01",-1,12,166
"60","CORNERSTONE CHRISTIAN SCHOOL","A9900016","103","01",-1,12,89
"61","CORNERSTONE SCHOOLS OF ALABAMA","A9500008","73","01",-1,8,260
"62","CORPUS CHRISTI SCHOOL","01926073","97","01",0,8,527
"63","COTTAGE HILL CHRISTIAN ACADEMY","A0100110","97","01",9,12,232
"64","COTTAGE HILL CHRISTIAN ACADEMY","00001751","97","01",-1,8,352
"65","COVENANT CHRISTIAN LEARNING CE","00002609","73","01",-1,0,63
"66","COVENANT CHRISTIAN SCHOOL","A9500006","109","01",-1,7,52
"67","COVENANT CHRISTIAN SCHOOL","A9300007","33","01",-1,12,198
"68","COVENANT CHRISTIAN SCHOOL","A9100155","97","01",-1,8,215
"69","COVENANT CLASSICAL SCHOOL","A0770034","117","01",-1,0,165
"70","COVENANT CLASSICAL SCHOOL","A0770035","89","01",-1,2,220
"71","CREATIVE MONTESSORI SCHOOL","02000574","73","01",-1,6,221
"72","CRENSHAW CHRISTIAN ACADEMY","A0300019","41","01",-1,12,279
"73","CULLMAN CHRISTIAN SCHOOL","A0900020","43","01",-1,12,114
"74","CUMBERLAND PRESBYTERIAN PRESCH","A0100100","71","01",-1,0,83
"75","DALE COUNTY CHRISTIAN SCHOOL","00001795","45","01",-1,12,65
"76","DEBORAHS DAY CARE & KINDERGART","A0770039","89","01",-1,0,26
"77","DECATUR HERITAGE CHRISTIAN ACA","00001944","103","01",0,12,381
"78","DEEPER LIFE ACADEMY","A0100404","73","01",-1,11,88
"79","DIXONS TOTAL TOUCH CHILD DEVEL","A0770128","97","01",-1,5,194
"80","DORA FIRST BAPTIST CHURCH","A0770041","127","01",-1,0,106
"81","DUNNAMS PRIVATE SCHOOL","00001853","73","01",-1,1,150
"82","EAST GADSDEN BAPTIST CHURCH KI","A9703737","55","01",-1,0,95
"83","EAST MEMORIAL CHRISTIAN ACADEM","A0500015","1","01",-1,12,284
"84","EASTERN SHORE EARLY CHILDHOOD","A9703738","3","01",-1,1,100
"85","EASTMONT BAPTIST KINDERGARTEN","A0900023","101","01",-1,0,162
"86","EASTWOOD CHRISTIAN SCHOOL","A0100134","101","01",0,12,354
"87","EMMANUEL CHRISTIAN SCHOOL","00002802","69","01",-1,12,492
"88","EMMANUEL JUNIOR ACADEMY","AA000956","97","01",1,8,11
"89","ENTERPRISE PREPARATORY ACADEMY","A0100135","31","01",-1,12,131
