"","X","School","ID","CoNo","StNo","Low","High","Students","Long","Lat"
"14",14,"AUTAUGA ACADEMY","00002722",1,1,-1,12,282,-86.5077516736635,32.5066647135736
"36",36,"CAMELLIA BAPTIST WEM","A0100060",1,1,-1,0,135,-86.6263584299285,32.483139225226
"83",83,"EAST MEMORIAL CHRISTIAN ACADEM","A0500015",1,1,-1,12,284,-86.8207905099227,32.3823614580446
"109",109,"FIRST BAPTIST KINDERGARTEN","K9300030",1,1,-1,0,140,-86.5053698931748,32.4448333263694
"111",111,"FIRST PRESBYTERIAN KINDERGARTE","A0900032",1,1,-1,0,64,-86.7497254932996,32.3928693941141
"5",5,"ALABAMA GULF COAST CHRISTIAN A","A1192001",3,1,-1,12,78,-87.5994723564185,30.4272636402878
"15",15,"BAYSIDE ACADEMY","A0500005",3,1,-1,12,757,-87.6679598477195,30.9169660006059
"34",34,"CALVARY CHRISTIAN LEARNING CEN","A1170018",3,1,-1,12,64,-87.7212218965535,30.2622627348462
"42",42,"CENTRAL CHRISTIAN SCHOOL","00001682",3,1,-1,12,331,-87.7578766947143,30.9544229237538
"47",47,"CHRIST THE KING SCHOOL","00000645",3,1,0,8,482,-87.8834746612721,30.7543161608186
"84",84,"EASTERN SHORE EARLY CHILDHOOD","A9703738",3,1,-1,1,100,-87.7681520968994,30.4092572748852
"97",97,"FAITH CHRISTIAN ACADEMY","A1170047",3,1,-1,7,75,-87.9395869143379,30.6502721016537
"121",121,"GOOD SHEPHERD LUTHERAN SCHOOL","A0700007",3,1,-1,0,19,-87.7585245541859,31.0295495229531
"181",181,"MARIETTA JOHNSON SCHOOL OF ORG","00002176",3,1,-1,8,29,-87.7228455021581,30.5652350485038
"226",226,"OPEN DOOR CHRISTIAN SCHOOL","AA890010",3,1,-1,11,101,-87.653501680877,30.5070814908332
"276",276,"ST BENEDICT SCHOOL","00000634",3,1,-1,8,174,-87.5393461146098,30.7440832088362
"293",293,"ST PATRICK SCHOOL","01604001",3,1,-1,8,211,-87.8802626233214,30.5331569732905
"340",340,"VICTORY CHRISTIAN ACADEMY","A9500035",3,1,-1,7,15,-87.757419365628,30.4761764104222
"232",232,"PARKVIEW CHRISTIAN SCHOOL","A0900062",5,1,-1,12,144,-85.1928516289728,32.0551629037087
"316",316,"THE LAKESIDE SCHOOL","00002096",5,1,-1,12,268,-85.4568213013133,31.9335174118071
"31",31,"CAHAWBA CHRISTIAN ACADEMY","00001536",7,1,-1,12,191,-87.1187583149059,32.8726160385134
"186",186,"MCCULLEY HILL CHRISTIAN SCHOOL","A0300029",7,1,0,12,166,-87.0911709109069,32.8417918974479
"209",209,"MT PLEASANT CHURCH KINDERGARTE","A0100302",9,1,-1,0,56,-86.3867684751947,34.0644342323198
"342",342,"VICTORY CHRISTIAN SCHOOL","A0500034",9,1,-1,10,22,-86.7174611330285,33.9272186375596
"54",54,"CONECUH SPRINGS CHRISTIAN SCHO","A0500013",11,1,-1,12,128,-85.7612671756059,32.0657062275845
"37",37,"CAMELLIA CITY CHRISTIAN ACADEM","A0300015",13,1,2,12,15,-86.8953551888395,31.9052637134307
"117",117,"FORT DALE ACADEMY","00001897",13,1,-1,12,477,-86.7294320574209,31.5638797509242
"101",101,"FAITH CHRISTIAN SCHOOL","A9100130",15,1,-1,12,300,-85.7770755717778,33.9239331933341
"260",260,"SACRED HEART CATHOLIC SCHOOL","00000306",15,1,-1,12,246,-85.7746236607723,33.6384980033757
"315",315,"THE DONOHO SCHOOL","00001332",15,1,-1,12,376,-85.786536661516,33.8070832264226
"318",318,"THE LEARNING TREE","A9302026",15,1,-2,-2,35,-85.7570272423491,33.6596642971992
"325",325,"TRINITY CHRISTIAN ACADEMY","00002507",15,1,-1,12,84,-85.7290232300469,33.858702354815
"360",360,"WORD ALIVE ACADEMY","A1170219",15,1,-1,8,141,-85.6235271611618,33.7744827553663
"1",1,"ACTS ACADEMY","A0500002",17,1,-1,12,46,-85.4813655370183,32.8666925004101
"41",41,"CENTRAL BAPTIST CHRISTIAN SCHO","A1100001",17,1,6,12,7,-85.5031488292705,32.8411285344658
"44",44,"CHAMBERS ACADEMY","00001693",17,1,-1,12,171,-85.5593123839702,32.8179998266588
"273",273,"SPRINGWOOD SCHOOL","00002405",17,1,-1,12,288,-85.2162717719792,32.7650404022658
"310",310,"TEMPLE CHRISTIAN SCHOOL","02000279",17,1,0,9,36,-85.5014183702159,32.9989623522748
"46",46,"CHILTON CHRISTIAN ACADEMY","AA000278",21,1,-1,12,171,-86.7199970907384,32.880652719784
"235",235,"PATRICIAN ACADEMY","01925896",23,1,-1,12,273,-88.0459216598832,32.2071084235354
"268",268,"SOUTH CHOCTAW ACADEMY","01926186",23,1,-1,12,301,-88.3403415771875,31.8027140095938
"50",50,"CLARKE PREP SCHOOL","A0100108",25,1,-1,12,268,-87.6677842378326,31.6800782244961
"154",154,"JACKSON ACADEMY","A0770089",25,1,-1,12,186,-87.8212508451995,31.6155166663655
"49",49,"CLARK COUNTY CHRISTIAN ACADEMY","A0500025",27,1,-1,12,155,-85.7664853756188,33.2271472081562
"103",103,"FIRST ASSEMBLY CHRISTIAN SCHOO","A9900026",27,1,-1,12,173,-85.7183161995185,33.1535256262512
"89",89,"ENTERPRISE PREPARATORY ACADEMY","A0100135",31,1,-1,12,131,-85.8808743716261,31.4698735588851
"234",234,"PATHWAY INC","A9700032",31,1,5,12,97,-85.9590640018376,31.5949186613608
