RT,TYPE,SERIALNO,puma_id,HINCP,NP,place_id,SYNTHETIC_HID,longitude,latitude,RT,puma_id,ST,SEX,AGEP,SCH,SCHG,RELP,HISP,ESR,PINCP,NATIVITY,OCCP,POBP,RAC1P,SYNTHETIC_PID,school_id,workplace_id
H,1,1322206,100,500,1,01077010100,01077010100-1,-87.671216831511,34.7859072435596,P,1900,1,1,22,2,15,0,1,1,500,1,2340,37,1,01077010100-1-1,,400711410
H,2,395268,100,4300,1,01077010100,01077010100-2,-87.6719194168613,34.7845633908403,P,302,1,1,24,1,,0,1,1,4300,1,4020,1,1,01077010100-2-2,,378026686
H,3,242948,100,6170,1,01077010100,01077010100-3,-87.6718775200463,34.7838257731351,P,1900,1,1,18,2,15,0,1,1,6170,1,5810,1,1,01077010100-3-3,,495971152
H,1,126976,100,2700,1,01077010100,01077010100-4,-87.6716184937571,34.7834180264722,P,1900,1,1,24,2,16,0,1,6,2700,1,4760,47,1,01077010100-4-4,,
H,1,395268,100,4300,1,01077010100,01077010100-5,-87.6708801007211,34.7831354007209,P,302,1,1,24,1,,0,1,1,4300,1,4020,1,1,01077010100-5-5,,599403045
H,1,1132691,100,4000,1,01077010100,01077010100-6,-87.683405966659,34.8079515272939,P,1600,1,2,23,2,15,0,1,1,4000,1,4720,1,1,01077010100-6-6,,574666293
H,1,1125925,100,6000,1,01077010100,01077010100-7,-87.6816913928999,34.8080243383435,P,1303,1,2,24,1,,0,1,1,6000,1,2310,1,1,01077010100-7-7,,401889282
H,1,1190366,100,1500,1,01077010100,01077010100-8,-87.6815214069139,34.8080331436798,P,1600,1,1,20,2,15,0,1,1,1500,1,5260,1,1,01077010100-8-8,,902095116
H,1,1436778,100,2000,1,01077010100,01077010100-9,-87.6650065493843,34.8099060693206,P,1900,1,1,21,2,15,0,1,1,2000,1,800,39,1,01077010100-9-9,,495971152
H,1,1185454,100,6800,1,01077010100,01077010100-10,-87.6646583400774,34.809721114154,P,800,1,2,18,2,13,0,1,1,6800,1,4720,1,1,01077010100-10-10,010201000765,251884706
H,1,1337099,100,0,1,01077010100,01077010100-11,-87.6647124048504,34.8098948425118,P,1600,1,1,21,2,15,0,1,6,0,1,4720,1,1,01077010100-11-11,,
H,1,793906,100,0,1,01077010100,01077010100-12,-87.664193187749,34.8082531899717,P,1302,1,2,22,2,15,0,1,6,0,1,5240,13,1,01077010100-12-12,,
H,1,204495,100,1000,1,01077010100,01077010100-13,-87.6642938159119,34.807191330946,P,1301,1,1,22,2,15,0,1,1,1000,1,4720,1,1,01077010100-13-13,,803520097
